kartas_nr,datums,pr_partneris,pr_pvn_nr,pr_datums,pr_numurs,darijuma_apraksts,vertiba_bez_pvn,dabas_resursi,atlaides,pvn_summa,kopeja_summa,due_date,client_reg_no,client_address,doc_type,items_json,comments,created_at
1,31.07.2026,"Bratus, SIA",LV40203628316,31.07.2026,LSEO 0001,SEO PAKALPOJUMI,"12,00",,"0,00","2,52","14,52",14.08.2026,40203628316,"Ķekavas nov., Ķekava, Dārznieku iela 42, LV-2123",Pavadzīme,"[{""seq"": 1, ""name"": ""SEO PAKALPOJUMI"", ""unit"": ""Gab"", ""qty"": ""1.0"", ""price"": ""12,00"", ""total"": ""12,00"", ""raw_qty"": 1.0, ""raw_price"": 12.0}]",,2026-07-31 10:38:10
2,03.08.2026,"ReLive, Sabiedrība ar ierobežotu atbildību",LV40203210537,03.08.2026,LSEO 0016,"SEO pakalopjumi un optimizācija -
Relive.lv","82,65",,"0,00","17,36","100,01",17.08.2026,40203210537,"Rīga, Vienības gatve 109, LV-1058",Rēķins,"[{""seq"": 1, ""name"": ""SEO pakalopjumi un optimizācija -\nRelive.lv"", ""unit"": ""Gab."", ""qty"": ""1.0"", ""price"": ""82,65"", ""total"": ""82,65"", ""raw_qty"": 1.0, ""raw_price"": 82.65}]",,2026-08-03 14:15:13
3,07.08.2026,"Bratus, SIA",LV40203628316,07.08.2026,LSEO 0017,SEO pilns audits - bratus.lv,"616,00",,"0,00","129,36","745,36",21.08.2026,40203628316,"Ķekavas nov., Ķekava, Dārznieku iela 42, LV-2123",Rēķins,"[{""seq"": 1, ""name"": ""SEO pilns audits - bratus.lv"", ""unit"": ""Gab."", ""qty"": ""1"", ""price"": ""616,00"", ""total"": ""616,00"", ""raw_qty"": 1.0, ""raw_price"": 616.0}]",,2026-08-07 10:25:04
4,07.08.2026,"Bratus, SIA",LV40203628316,07.08.2026,LSEO 0018,SEO pilns audits - bratus.lv,"616,00",,"0,00","129,36","745,36",21.08.2026,40203628316,"Ķekavas nov., Ķekava, Dārznieku iela 42, LV-2123",Rēķins,"[{""seq"": 1, ""name"": ""SEO pilns audits - bratus.lv"", ""unit"": ""Gab."", ""qty"": ""1"", ""price"": ""616,00"", ""total"": ""616,00"", ""raw_qty"": 1.0, ""raw_price"": 616.0}]",,2026-08-07 10:25:13
5,11.08.2026,"AUTOESTETIKA, Sabiedrība ar ierobežotu atbildību",LV40203193970,11.08.2026,LSEO 0019,SEO Pakalpojumi - Autoestetika,"150,00",,"0,00","31,50","181,50",25.08.2026,40203193970,"Saulkrasti, Liepu iela 1A – 48, LV-2160",Pavadzīme,"[{""seq"": 1, ""name"": ""SEO Pakalpojumi - Autoestetika"", ""unit"": ""gab."", ""qty"": ""1.0"", ""price"": ""150,00"", ""total"": ""150,00"", ""raw_qty"": 1.0, ""raw_price"": 150.0}]",nan,2026-09-08 14:02:37
6,08.09.2026,"Sabiedrība ar ierobežotu atbildību ""AUTOESTETIKA""",LV40203193970,08.09.2026,LSEO 0020,SEO Pakalpojumu sniegšana; Mājaslapas tehniskie uzlabojumi,"240,00",,"0,00","50,40","290,40",22.09.2026,40203193970,"Liepu iela 1A - 48, Saulkrasti, LV-2160",Rēķins,"[{""seq"": 1, ""name"": ""SEO Pakalpojumu sniegšana"", ""unit"": ""gab."", ""qty"": ""1"", ""price"": ""150,00"", ""total"": ""150,00"", ""raw_qty"": 1.0, ""raw_price"": 150.0}, {""seq"": 2, ""name"": ""Mājaslapas tehniskie uzlabojumi"", ""unit"": ""gab."", ""qty"": ""1"", ""price"": ""90,00"", ""total"": ""90,00"", ""raw_qty"": 1.0, ""raw_price"": 90.0}]",,2026-09-08 13:39:38
